127.0.0.1 - - [06/Mar/2022:19:38:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:16 +0530] "GET /Helperland/ HTTP/1.1" 200 40435
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/css/style.css;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 11100
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/step-2.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/logo-large.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 8702
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/group-23.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 43694
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/group-24.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 57502
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/hl1.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 375242
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/group-29.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 29758
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/group-28.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 32784
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:43 +0530] "GET /Helperland/resources/images/group-36.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 264458
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:44 +0530] "GET /Helperland/resources/images/group-31.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:44 +0530] "GET /Helperland/resources/images/group-32.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:44 +0530] "GET /Helperland/resources/images/logo-small.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:44 +0530] "GET /Helperland/resources/images/group-30.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 33853
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:44 +0530] "GET /Helperland/resources/images/group-33.png;jsessionid=61AA9C4F2B9FD1E941E2390C5D2C46BF HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:38:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:05 +0530] "POST /Helperland/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:05 +0530] "GET /Helperland/homepage HTTP/1.1" 200 40047
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/bookService HTTP/1.1" 200 50194
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/assets/separator.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/assets/serviceBooking/cabinet.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/assets/serviceBooking/laundry.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/assets/serviceBooking/refrigerator.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /nav-footer-assets/logo.png HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/assets/serviceBooking/oven.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/assets/ic-check.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/assets/serviceBooking/windows.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/css/assets/schedule-plan.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/css/assets/setup-service.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/css/assets/payment.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:09 +0530] "GET /Helperland/resources/css/assets/user-details.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:17 +0530] "POST /Helperland/zipcode HTTP/1.1" 500 3742
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:39:29 +0530] "POST /Helperland/zipcode HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:40:00 +0530] "POST /Helperland/service HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:40:00 +0530] "GET /Helperland/homepage HTTP/1.1" 200 40047
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:41:57 +0530] "GET /Helperland/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2022:19:41:57 +0530] "GET /Helperland/homepage HTTP/1.1" 200 39819
